전자정보통신 약어정리

 	(‘*’표는 통신에 주로 사용되는 약어임)
MMA 	Multiple Module Access
MMBE 	Mixed MBE (음성)
MMBE 	Mixed Multi-band Excitation (음성)
MMC 	Man Machine Command, 명령어
MMC 	Man Machine Communication Command
MMC 	Man Machine Communication, 인간-기계 간 통신*
MMC 	Meet-Me-Conference
MMCF 	MultiMedia Communications Forum
MMCS 	MultiChannel Multipoint Communication System
MMD 	Moving Map Display
MMDS 	MultiChannel Microwave Distribution System
MMDS 	MultiChannel(or Microwave) Multipoint Distribution Service, 다중채널 다중점 분배 서비스
MMDST 	Man Machine Device Supervision*
MME 	Multimedia Extensions, 멀티미디어 확장
MMF 	Micromicrofarad
MMF 	Multi Mode Fiber
MMI 	Man Machine Interface
MMI 	Man-Machine Interface, 인간-기계 간 접속, 맨-머신 인터페이스
MMI 	MultiModal Interface, 멀티모달 인터페이스
MMIC 	Microwave Monolithic Integrated Circuit (IMT-2000)
MMIC 	Monolithic Microwave Integrated Circuit (IMT-2000)
MMIS 	Manpower Management and information system, 인력 관리 정보 시스템
MML 	Man-machine Language, 인간-기계 언어
MMM 	Many-to-Many Mapping, 다 대 다 사상 (음성)
MMP 	Man Machine Processor
MMPM/2 	MultiMedia Presentation Manager/2, 멀티미디어 프레젠테이션 매니저/2
MMPP 	Markov Modulated Poisson Preocess
MMR 	Modified Modified READ, G4 팩시밀리 장치의 부호화방식 (MPEG)
MMRAM 	Main Memory-RAM
MMRG 	Multi-Modal Response Generator, 다중 모달 생성부, 다중 매체 생성부 (음성)
MMS 	Man Machine Subsystem
MMS 	Manufacturing Messaging Specification (Service), 생산 메시지 명세
MMS 	Mass Memory Store
MMS 	Meet Me Service
MMS 	Meet Me Switching
MMS 	Microsoft Media Server
MMS 	Minimum Mean Square, 최소 평균 제곱 (음성)
MMS 	Mth-order Markov Source, M중 정보원
MMSE 	Minimum Mean Square Error, 최소 평균 제곱 오차 (음성)
MMT 	Memory Tester
MMTY 	Maintenance Message Teletype
MMU 	Memory Management Unit, 메모리 관리 장치
MMUDIS 	MMU DISable
MMUSR 	MMU Status Register
MN 	Management Network
MN 	Manual, 매뉴얼
MNI 	Multiple Node Isolation, 다중 노드 격리
MNLP 	Mobile Network Location Protocol
MNOS 	Metal Nitride Oxide Semiconductor, 엠노스
MNOS 	Metal-Nitride-Oxide Semiconductor
MNP 	Microcom Network Protocol, 마이크로컴 네트워크 프로토콜
MNP 	Microcom Networking Protocol, 마이크로컴 네트워킹 프로토콜
MNP 	Microcommunication Networking Protocol
MNR 	Mask to Noise Ratio
MNRP 	Mobile Network Registration Protocol
MNRU 	Mobile Noise Reference Unit
MNS FET 	Metal-Nitride Semiconductor Field-Effect Transistor
MO 	Maintenance and Operations
MO 	Maintenance Operation Subsystem, 보수운용계
MO 	Managed Object
MO 	Management Object
MO 	Manual Output
MO 	Master Oscillator
MO 	Miscellaneous Operation
MOB 	Memory Order Buffer
MOBL 	Macro Oriented Business Language
MOC 	Managed Object Class*
MOC 	Master Operational Controller
MOC 	Mission Operation Computer
MOD 	Model, 모델
MOD 	Modification
MOD 	Modular, 모듈러
MOD 	Modulator, 변조기
MOD 	Module, 모듈
MOD 	Movie on Demand
MOD/DEMOD 	Modulator/Demodulator, 모뎀
MODAC 	Mountain Systems Digital Automatic Computer
MODD 	Magnetic Optical Disc Driver
MODEM 	MOdulator-DEModulator, 모뎀
MODEM 	MOdulator/DEModulator, 모뎀
MODHMM 	Multi Observation Discrete HMM, 복수 관측 이산형 HMM (음성)
MOE 	Measure Od Effectiveness
MOF 	Meantime Of Failure, 평균수명
MOF 	Metering OutFit
MOHLL 	Machine-Oriented High-Level Language, 기계 중심 고급 언어
MOL 	Machine-Oriented Language, 기계 중심 언어
MOM 	Message-Oriented Middleware
MOM 	Mobile Origination Message
MONET 	Mobile Network
MONOS 	Monitor Out of Service
MOP 	Maintenance Operation Protocol, 보수 오퍼레이션 프로토콜, 유지 보수 작동 규약
MOP 	Multiple On-line Programming
MOPA 	Master Oscillator-Power Amplifier
MOPB 	Manually Operated Plotting Board
MOPS 	Million Operations Per Second
MOPS 	Millions of Operations Per Second
MOS 	Management Operating System(IBM)
MOS 	Manufacturing Operating System
MOS 	Master Operating System
MOS 	Mean Opinion Score* (음성)
MOS 	Metal Oxide Semiconductor, 금속 산화막 반도체, 모스
MOS 	Metal-Oxide Semiconductor
MOS 	Modular Operating System
MOSAIC 	Macro Operation Symbolic Assembler And Information Compiler
MOSAIC 	Ministry Of Supply Automatic Integrator and Computer
MOSFET 	Metal-Oxide Semiconductor Field-Effect Transistor, 모스 전계 효과 트랜지스터, 금속 산화막 반도체 전계 효과 트랜지스터
MOSPF 	Multicast extensions to OSPF
MOSPF 	Multicast Open Shortest Path First
MOTIS 	Message Oriented Text Interchange Format
MOU 	Memorandum of Understanding
MoU 	Memorandum of Understanding
MOV 	Metal-Oxide Varistor
MOV 	Move register or constant
MOWASP 	Mechanization Of Warehousing And Shipment Processing
MP 	Main Processor, 상위 프로세서
MP 	Main Profile, 메인 프로파일 (MPEG)
MP 	Main Program
MP 	Maintenance Point
MP 	Master Primary
MP 	Mathematical Programming
MP 	Mechanical Prat
MP 	Micro Processor, 마이크로 프로세서
MP 	Minimum Pause, 최소 휴지 시간
MP 	Module Processor, 모듈 프로세서
MP 	Multi-Processor, 멀티 프로세서
MP-1 	MasPar-1
MP-2 	MasPar-2
MP-LPC 	Multi Pulse LPC (음성)
MP-LPC 	Multi Pulse LPC (음성)
MP-M 	MultiProgramming-Monitor, 다중 프로그래밍-모니터
MP-RAM 	Message-Passing Random Access Memory
MP@H-14 	Main Profile at High-1440 Level, 메인 프로파일의 하이-1440 레벨 (MPEG)
MP@H1440 	Main Profile at High-1440 Level, 메인 프로파일의 하이-1440 레벨 (MPEG)
MP@HL 	Main Profile at High Level, 메인 프로파일의 하이 레벨 (MPEG)
MP@LL 	Main Profile at Low Level, 메인 프로파일의 로우 레벨 (MPEG)
MP@ML 	Main Profile at Main Level, 메인 프로파일의 메인 레벨 (MPEG)
MPACS 	Management Planning And Control System
MPBB 	Main Processor Back Board
MPC 	Main Processor Controller
MPC 	MicroProgram Counter, 마이크로 프로그램 카운터
MPC 	Multimedia PC
MPC 	Multimedia Personal Computer
MPCC 	MultiProtocol Communications Controller, 멀티프로토콜 통신 제어 장치
MPDA 	Main Processor & Duplication Control Board Assembly
MPDU 	MAC Protocol Expert Group
MPDU 	Message Protocol Data Unit, 메시지 프로토콜 데이터 단위
MPEG 	Motion/moving Picture Export Group, 동영상 전문가 그룹, 컬러 동화상의 디지털 압축/신장방식, 엠펙, 동화상 표준화 그룹, 통합계 동영상압축의 국제표준
MPEG 	Moving Picture Experts Group, 엠펙*
MPEG++ 	Moving Picture Experts Group ++, 엠펙 플러스 플러스
MPEG-1 	Moving Picture Expert Group - 1, 엠펙 1
MPEG-2 	Moving Picture Expert Group - 2, 엠펙 2
MPEG-4 	Moving Picture Expert Group - 4, 엠펙 4
MPEG-DSM 	Moving Picture Expert Group Digital Storage Media
MPEG1 	Moving Picture Expert Group 1, 엠펙 원
MPEG2 	Moving Picture Expert Group 2, 엠펙 투
MPEG4 	Moving Picture Expert Group 4, 엠펙 포
MPG 	Microwave Pulse Generator
MPH 	Main Processor Hardware, 상위제어계
MPL 	Multiple
MPLPC 	Multi-pulse Linear Predictive Coding
MPLPC 	Multi-pulse LPC
MPMA 	Main Processor & Memory Management Assembly
MPMA 	Main Processor & Memory Management Assembly board
MPMC 	MPC Marketing Council, SPC의 하부조직
MPMP 	Microwave Point-to-Multipoint, 마이크로파 점 대 다중점
MPP 	Massively Parallel Processor
MPPL 	Multi-Purpose Processing Language
MPR 	Master Primary Reference Station
MPRT 	Master Primary Reference Terminal
MPS 	Main Processor System, 상위 레벨 프로세서 시스템
MPS 	Message Processing System, 국제 전용회선처리 시스템, 메시지처리 시스템
MPS 	Metro Packet Switch
MPS 	Micro Program Store, 마이크로 프로그램 저장
MPS 	Multi-Processor Specification
MPS 	Multimedia Platform System
MPS 	MultiProgramming System, 다중 프로그램 시스템
MPS-BUs 	Main Processor System Bus, 주프로세서 시스템 버스
MPSBUS 	Main Processor System bus, 주프로세서 시스템 버스
MPSC 	Multi Protocol Serial Controller
MPSK 	M-ary Phase Shift Keying, M진 PSK
MPSK 	Multi Phase Shift Keying, 다중 위상 편이 키잉
MPSRG 	Mathematical Programming System/360 Report Generator (IBM)
MPU 	Main Processing Unit, 주 처리 장치
MPU 	Micro Processing Unit, 초소형 연산 처리 장치, 마이크로 프로세싱 유닛
MPU 	MicroProcessor Unit, 마이크로 처리 장치
MPU 	Microprocessors
MPU 	Multi Processor Mode, 멀티 프로세서 모드
MPU 	Multi Processor Unit
MPU 	single-chip system architecture, 단일칩 시스템 구조
MPY 	Multiply, 다중화, 곱셈
MQ 	Multiplier Quotient
MQ 	Multiplier-Quotient register, 승수-몫 레지스터, MQ 레지스터
MQUANT 	Macroblock Layer Quantizer Information, 양자화 특성, MB의 양자화 특성을 표시
MQW 	Multiple Quantum Well
MR 	Magnetic Resonance
MR 	Magneto-Resistive
MR 	Map Reference
MR 	Mask Register
MR 	Memory Read, 메모리 판독
MR 	Memory Reference
MR 	Memory Register, 메모리 레지스터
MR 	Modem Ready
MR 	Modified Read
MR 	Multicast Router
MRAD 	Mass Random Access Disk
MRADS 	Mass Random Access Data Storage
MRC 	Move from coprocessor register to CPU register
MRCI 	Microsoft Real-time Compression Interface, 마이크로소프트 실시간 압축 인터페이스
MRCPS 	Mobile Radio Channel Prediction System (IMT-2000)
MRCS 	Multirate Circuit Failure
MRFT 	Mixed-radix Fourier Transform, 혼합기지 푸리에 변환
MRG 	Medium Range
MRIT 	Maritime Radar Interrogator Transponder, 선박 레이더 질의 응답기
MRK 	Marker Bit (MPEG)
MRKD 	Marked
MRO 	Maintenance, Repqir and Operating
MRRC 	Mobile Radio Resource Control (IMT-2000)
MRS 	Mixed-Radix System, 혼합기수계
MRS 	Move PSR status / flag to register
MRT 	Modified Rhyme Test (음성)
MRTR 	Mobile Radio Transmission and Reception (IMT-2000)
MRU 	Machine Records Unit
MRWC 	Multiple Read-Write Computer
MS 	Markov Source, 마르코브 정보원
MS 	Message Switch, 메시지 스위치
MS 	Middle/Side, 미들/사이드 스테레오, 화신호(L+R)/차신호(L-R) 스테레오
MS 	Mobile Station, 이동통신 단말기*
MS 	Multiple Similarity, 다중 유사 (음성)
MS 	Multiplexer Section
MS-DOS 	Microsoft-Disk Operating System, 엠에스 도스
MS-ROM DOS 	Microsoft Read Only Memory Disk Operating System, 엠에스 롬 도스
MS-TDNN 	Multi-State TDNN (음성)
MSA 	Metropolitan Statistical Area
MSA 	Mobile Signaling Access
MSAC 	More School Automatic Computer (University of Pennsylvania)
MSAT 	Mobile Satellite, 이동 위성
MSB 	Modem Software Block (IMT-2000)
MSB 	Most Significant Bit, 최상위 비트
MSC 	Macro Selection Complier
MSC 	Main Switching Center
MSC 	Measuring Subscriber Circuit, 가입자회로 특성시험기
MSC 	Mobile Service Center
MSC 	Mobile Services Switching Center, 이동 전화 교환국, 이동통신 교환기
MSC 	Mobile Station Controller, 이동통신 교환기
MSC 	Mobile Switching Center, 이동 전화 교환국
MSC 	Mobile Switching Center, 이동교환국*
MSC 	Most Significant Character, 최대 유효 문자, 최상위 문자
MSC-G 	Mobile Switching Center-Gateway
MSC-H 	Mobile Switching Center-Home
MSC-V 	Mobile Switching Center-Visited
MSC/VBR 	Mobile Switching Center / Visitor Location Register
MSCH 	Multiplex SubChannel, 멀티플렉스 서브채널 장치
MSCM 	Mobile Station Control Message, 이동국 제어 메시지
MSCo 	originating MSC
MSCt 	terminating MSC
MSD 	Most Significant Digit, 최상위 단위, 최상위의 숫자
MSDB 	Main Storage DataBase, 주저장 데이터베이스
MSDP 	Measurements and Statistics Data Processing
MSDU 	MAC Service Data Unit
MSE 	Mean Squared Error, 평균 제곱 오차, 평균 자승 오차
MSEC 	Millisecond
MSF 	Mobile Storage Function
MSG 	Message
MSG/WTG 	Message Waiting
MSGC 	Measurements and Statistics Gathering Data on Call
MSGR 	Measurements and Statistics Gathering Data on Route
MSHK 	Modem Shelf Hardware block
MSHP 	Mobile Signaling Handling Processor
MSI 	Mail Service Interface, 메일 서비스 인터페이스
MSI 	Medium Scale Integration, 대규모 집적 회로
MSIA 	Mass Storage Interface Assembly
MSIA 	Mass Storage Interface board Assembly, SCSI 디바이스 제어 장치*
MSIB 	Modem Shelf Interface Board
MSID 	Mobile Station Identification
MSID 	Mobile Station Identity
MSIDs 	Mobile Station Identifications
MSIMD 	Multiple Single Instruction Multiple Data
MSIO 	Mass Storage Input-Output
MSIP 	Mail Service Interface Processor
MSK 	Mask
MSK 	Minimum Shift Keying
MSL 	Mobile call System Library
MSM 	Mobile Station Modem
MSMB 	Modem Shelf Management Board
MSN 	MicroSoft Network, 마이크로 소프트 네트워크
MSO 	Multiple System Operator
MSO 	Multiple Systems Operator
MSOH 	Multiplexer Section Overhead, 다중화기 구간 오버헤드
MSOS 	Mass Storage Operating System
MSP 	Manual Switching Position
MSP 	Master Stack Pointer
MSP 	Multiplexer Section Protection
MSR 	Magnetically Induced Super Resolution, 자기 초해상 재생
MSR 	Mark Sheet Reader
MSR 	Mass Storage Resident
MSRN 	Mobile Station Roaming Number
MSS 	MAN Switching System
MSS 	Mass Storage System, 대용량 기억 장치 시스템, 초대용량 기억장치
MSS 	Measurements and Statistics Subsystem
MSS 	Mobile Satellite Service*, 이동 위성 업무
MSS 	Multi Speaker Speech, 다화자 음성 (음성)
MSSAS 	Multi Speaker Speech Automatic Segmentation, 다화자 음성의 자동 분할 (음성)
MSSB 	Modem Shelf Subscriber Board
MST 	Marker Start Control Circuit
MST 	Monolithic Systems Technology
MST 	Multiplexer Section Termination
MSU 	Meaning Signal Unit, 유의 신호 유닛
MSU 	Message Signal Unit
MSU 	Modem Sharing Unit
MT 	Machine Translation, 기계 번역
MT 	Magnetic Tape, 자기 테이프
MT 	Message Transfer, 메시지 전송
MT 	Mobile Telephone, 휴대 전화
MT 	Mobile Terminal
MT 	Mobile Termination*
MT/SC 	Magnetic Tape/Selectric Composer (IBM)
MT0 	Mobile Termination 0*
MT2 	Mobile Termination 2*
MTA 	Main Signal Transfer Area, 주신호구역
MTA 	Major Trading Area
MTA 	Message Transfer Agent, 메시지 전송 에이젼트
MTAC 	Mathematical Tables and other Aids to Computation
MTBF 	Mean Time Between Failures, 평균 고장 시간 간격
MTBF 	Mean-Time Between Failure, 평균 고장 시간 간격
MTC 	Main Signal Transfer Center, 주신호 중계국
MTC 	Master Tape Control
MTC 	Memory Test Computer
MTCF 	Mean Time to Catastrophic Failure
MTCU 	Magnetic Tape Control Unit
MTDS 	Manufacturing Test Data System (IBM)
MTDS 	Marine Tactical Data System
MTE 	Magnetic Tape Equipment, 자기테이프 장치
MTE 	Mean Time Between Error, 평균 오류 시간
MTF 	Maintenance Test Facility
MTF 	Mean Time to Failure, 평균 고장 시간
MTF 	Modulation Transfer Function, 변조 전달 함수
MTI 	Moving Target Indicator, 이동 목표 지시 장치
MTL 	Merged Transistor Logic
MTL 	Message Transfer Layer, 메시지 전송 계층
MTM 	Mobile phone To Mobile phone, 이동국과 이동국간 통신
MTMM 	Many-to-Many Mapping, 다 대 다 사상 (음성)
MTN 	Mega Transport Network, 메가 트랜스포트 네트워크
MTP 	Magnetic Transfer Point
MTP 	Management Training Program, 관리자 훈련계획
MTP 	Master Time Plan
MTP 	Message Transfer Part, 메시지 전송부*, 메시지 교환역
MTP-3b 	Message Transfer Part-3 B-ISDN (IMT-2000)
MTPF 	Minimal Total Processing Time
MTPS 	Magnetic Tape Programming System
MTPS 	Mux To Progressive Sequence, 시간 스케일러빌리티에서 두 개의 계층에 대응하는 복호 픽처가 순차조작 시퀀스를 생성하기 위해 시간다중화되는 것을 표시 (MPEG)
MTR 	Magnetic Tape Recorder
MTR 	Men Time to Repair
MTR 	Message Transfer and Routing
MTR 	Message Transfer Part, 메시지 전달부
MTR 	Monitor
MTRB 	Message Transfer & Routing Block, 메시지 전송 및 분배부
MTRE 	Magnetic Tape Recorder End
MTRS 	Magnetic Tape Recorder Start
MTS 	Magnetic Tape Station
MTS 	Magnetic Tape System, 자기 테이프 시스템
MTS 	Message Telecommunications Service
MTS 	Michigan Time-Sharing
MTS 	Mobile Telephone Service, 이동 전화 시스템
MTS 	Mobile Telephone Switching office, 이동전화 교환국
MTS 	Multiplexer Timing Source
MTSO 	Mobile Telephone Switching Office, 이동전화 교환국
MTT 	Magnetic Tape Terminal
MTT 	Magnetic Tape Transport, 자기 테이프 전송
MTTC 	Magnetic Tape Transport Controller, 자기 테이프 전송 제어기
MTTD 	Mean Time To Diagnosis
MTTF 	Mean Time To Failure, 평균 고장 시간
MTTFF 	Mean Time To First Failure, 최근의 고장까지의 평균 시간
MTTR 	Mean Time To Repair
MTU 	Magnetic Tape Unit, 자기 테이프 장치
MTU 	Maximum Transmission Unit, 최대 전송 단위
MTVAL 	Master Tape Validation
MTW 	Message Type Word, 메시지 타입 워드
MTX 	Mobile Telephone Exchange
MTYPE 	Macroblock Type Information, 매크로 블록 타입 정보, MB의 부호화 모드를 표시
MU 	Machine Unit
MU 	Message Understanding, 메시지 이해 (음성)
MUF 	Maximum Usable Frequency
MUF 	Operational Maximum Usable Frequency, 운용 최대사용가능주파수, 운용 MUF
Mul 	16×16 multiplication
MUL 	Multiply, 멀티플라이
MULL 	Multiply Long
MUMPS 	MGH Utility of Multiprogramming System, 멈프스
MUPS 	Multiple Utility Peripheral System
MURG 	Machine Utilization Report Generator
MUSA 	Multiple Unit Steerable Array Antenna, 무사 안테나
MUSE 	Multi Subnyquist Sampling Encoder
MUSE 	Multiple Sub-Nyquist Encoding, 뮤즈
MUSE 	Multiple Sub-Nyquist Sampling Encoding, 뮤즈
MUSICAM 	Masking pattern adapted Universal Sub-band Integrated Coding And Multiplexing, 뮤지캠, 대역분할형 부호화방식의 일종
MUT 	Mean Up Time, 평균 동작 시간
MUX 	Multiplexer, 다중화기
MV 	Mean Value, 평균값
MV 	Measured Value, 측정값
MVB 	Motion Vertical Backward Code (MPEG)
MVB 	Motion Vertical Backward r (MPEG)
MVC 	Maintenance Voice Channel
MVC 	Model View Controller
MVC 	Motion Vertical Code (MPEG)
MVD 	Motion Vector Data, 움직임 벡터 정보, 움직임 벡터의 차분치
MVD 	MultiValued Dependency
MVDM 	Multiple Virtual DOS Machines
MVDS 	Microwave Video Distribution System
MVF 	Motion Vertical Forward Code (MPEG)
MVF 	Motion Vertical Forward r (MPEG)
MVFS 	Motion Vertical Field Select, 필드 예측의 경우 참조영상의 어느 필드로부터 예측하는가를 표시 (MPEG)
MVr 	Motion Vertical r (MPEG)
MVS 	Multiple Virtual Storage, 다중 가상 기억
MVSC 	Meta Virtual Signaling Channel, 메타 가상 신호 채널
MVT 	Multiprogramming with a Variable number of Tasks, 가변수 태스크 다중 프로그래밍
MW 	Manual Word
MW 	Megawatt, 메가와트
MW 	Memory Write, 메모리 기록
MW 	Microwave (system), 마이크로 웨이브
MW 	Milliwatt, 밀리와트
MWC 	Multi-Way Calling
MWC 	MultiWay Calling
MWI 	Message Waiting Indicator
MX 	Mail Exchanger, 메일 교환기
MX 	Matrix, 매트릭스, 행렬
MX 	Multiplex, 멀티플렉스, 다중화
MXC 	Byte Multiplexer Channel, 바이트 멀티플렉서 채널
MXC 	Matrix Coefficients, 원신호가 빛의 삼원색으로부터 어떤 변환을 거치는지의 상세한 내용 (MPEG)
MXC 	Multiplexer Channel, 다중화 채널
MXM 	Matrix Memory
MXR 	Mask Index Register
N 	Nano, 나노
N 	Negative Flag
N 	NNNNNNNNNNNN ㅜㅜㅜㅜㅜㅜㅜㅜ
N 	No
N 	Number of Bits
N 	Number of turns
N(R) 	Number(Receive), 수신 순서 번호
N(S) 	Number(Send), 송신 순서 번호
N-CDMA 	Narrowband CDMA
N-CON 	Network Connection, 네트워크 연결
N-ISDN 	Narrowband Integrated Services Digital Network, 협대역 종합 정보 통신망
N-ISDN 	Narrowband ISDN, 협대역 ISDN
N-PCS 	Narrow PCS, 협대역 개인휴대통신 시스템
N-PCSband 	Narrow PCS band
N-VOD 	Near VOD, 유사 VOD
NA 	Network Architecture, 네트워크 아키텍쳐
NA 	Not Applicable
NA 	Not Assigned
NA 	Not Available
NA 	Numerical Analysis
NA 	Numerical Aperture
NAA 	National Association of Accountants
NAB 	National Association of Broadcasters, 미국 방송 협회
NABAC 	National Association for Bank Audit, Control, and Operation
NABN 	North America Information News, 북미 사업 뉴스
NAC 	Network Adapter Card
NACAA 	National Association of Computer Assisted Analysis
NACC 	National Automatic Controls Conference
NACK 	No Acknowledgement
NACS 	Netware Asynchronous Communications Server
NACT 	NCR Cotumatic Controls Controller for Testing
NADGE 	NATO Air Defense Ground Environment System
NAECON 	National Aerospace Electronics Conference
NAEDS 	National Association od Educational Data Systems
NAGC 	Non-Coherent AGC, 비동기 AGC
NAIL! 	Not Another Implementation of Logic!
NAK 	Negative Acknowledge character, 부정 응답 문자, 부정 응답
NAK 	Negative Acknowledge, 부정 응답
NAK 	Negative Acknowledgement
NAK 	Negative Acknowledgement, 미수취 통보
NAK 	Not ACKnowledge, 부정 응답
NAM 	Number Assignment Module, 넘버 어사인먼트 모듈
NAN 	Not A Number
NAND 	Negative AND, 부정 논리곱, 부정곱
NANWEP 	Navt Numerical Weather Prediction (CDC)
NAP 	Network Access Point
NAPE 	National Association of Power Engineers
NAPLPS 	North American Presentation Level-Protocol Syntax, 나플릅스, 북미 표준 비디오텍스 규약
NAPM 	National Association of Purchasing Management
NAPS 	National Auxiliary Publications Service
NAPS 	Nimbus Automatic Programming System
NAPSS 	Numerical Analysis Problem Solving System
NAREC 	Naval Research Electronic Computer
NARM 	National Association of Relay Manufacturers
NAS 	National Academy of Science
NAS 	Numeric and Alphanumeric Service, 숫자?문자 호출방식
NASA 	National Aeronautics and Space Administration, 미 항공 우주국
NASDAQ 	National Association of Securities dealers Automated Quotations, 주식 시세 자동 통보 시스템
NASIS 	National Association of Relat Manufacturers
NASPA 	National Society of Public Accountants
NAT 	Natural unit of information content, 정보량의 자연 단위, 내트
NATO 	North Atlantic Treaty Organization
NATTS 	National Association of Trade and Technical Schools
NAU 	Network Address Unit, 네트워크 어드레스 유닛
NAU 	Network Addressable Unit
NAVA 	National Audio Visual Association
NavstarGPS 	NAVigation System Time And Ranging
NavstarGPS 	NAVigation System with Timing And Ranging Global Positioning System
NB 	Narrow Band, 협대역
NB 	No Bias
NBA 	Narrow Band Allocation, 협대역 할당
NBC 	Node Buffer Control
NBC 	Non Backward Compatible Mode, 비하방 호환 모드 (MPEG)
NBF 	Narrow Band Filter, 협대역 필터
NBFM 	Narrow Band Frequency Modulation, 협대역 주파수 변조
NBGN 	Non-Blocking Binary Group Network, 비블럭킹 이진 그룹망
NBMA 	Non-Broadcast MultiAccess
NBP 	Name Binding Protocol, 네임 바인딩 프로토콜
NBPM 	Narrow Band Phase Modulation, 협대역 위상 변조
NBR 	No one of the burst is Received
NBS 	National Bureau of Standards, 미국 상무성 표준국
NBUSY 	Number of times reverse Control Channel busy
NC 	Network Computer, 네트워크 컴퓨터
NC 	Network Concentrator
NC 	Network Connect, 망 접속
NC 	Network Connection, 망 접속
NC 	Network Control, 망 제어
NC 	Network Controller, 망 제어기
NC 	Normal Close, 노멀 클로즈
NC 	Numeric Control, 수치 제어
NC 	Numerical Control, 수치 제어
NCA 	News and Current Affairs, 뉴스 및 시사
NCA 	Northwest Computing Association
NCAGC 	Non-Coherent AGC, 비동기 AGC
NCB 	Network Control Block, 망 제어부
NCC 	National Computer conference, 미국 컴퓨터 회의
NCC 	National Computing Center
NCC 	Network Control Center, 망 제어 센터
NCC 	Norwegian Computing Center (Oslo, Norway)
NCDMA 	Narrowband CDMA
NCE 	Non-linear Channel Effect, 비선형 채널 영향 (음성)
NCG 	New Content Gateway, 비디오 내용 게이트웨이
NCI 	National Computer Institute
NCI 	National Computing Industries
NCI 	Netherlands Centre for Informatics
NCI 	Northeast Computer Institute
NCIA 	Native Client Interface Architecture
NCL 	Network Control Logic, 망 제어 로직
NCO 	Network Clock Output
NCO 	Numerically Controlled Oscillator
NCOS 	Non-Concurrent Operating System (UNIVAC)
NCP 	Netware Core Protocol
NCP 	Network Control Program (IBM)
NCP 	Network Control Program, 네트워크 제어 프로그램, 회선망 제어 프로그램
NCP 	Network Control Protocol, 네트웨어 코어 프로토콜
NCR 	National Cash Register Company
NCS 	National Computer System
NCS 	Netherlands Computer Society
NCS 	Network Co-ordination Station, 통신망 관리국
NCS 	Network Computing System
NCS 	Numerical Control Society
NCSA 	National Center for Supercomputing Applications
NCTA 	National Cable Television Association, 미국 유선 텔레비전 협회
NCTL 	Network Control and Timing Links
NCTM 	National Council of Teachers of Mathematics
NCU 	Network Control Unit, 네트워크 제어 장치, 망제어 장치
ND 	No Detect
NDA 	Non-linear Discriminant Analysis, 비선형 판별 분석 (음성)
NDAC 	Network Driver Interface Specification
NDAC 	Non-Differential Arithmetic Coding, 비차분영상 산술부호화, 비계층형 부호화
NDB 	Network Database Service, 네트워크 데이터베이스 서비스, 망연결 데이터베이스 서비스
NDC 	National Destination code
NDE 	Nonlinear Differential Equations
NDF 	New Data Flag
NDHC 	Non-Differential Huffman Coding, 비차분영상 허프만 부호화
NDI 	Network Driver Interface, 네트워크 드라이버 인터페이스
NDIS 	Network Driver Interface Specification, 망장치 인터페이스 규격
NDL 	Network Definition Language, 네트워크 정의 언어
NDRO 	NonDestructive read-Out, 비파괴 판독, 비파괴 읽어내기
NDS 	NetWare Directory Service
NDS 	Netware Directory Service
NDS 	Netware Domain Service
NDT 	Nondestructive Testing
NDX 	Numerical Processor Extension, 수치연산 코프로세서
NE 	Network Element, 네트워크 요소
NE 	Network Elements, 네트워크 요소
NEADAI 	National Education Association Department of Audiovisual Instruction
NEAT 	National Cash Register Electronic Autocoding Technique
NEAT 	National Electronic Autocoding Technique (NCR)
NEC 	National Electric Code
NEC 	National Electronics Conference
NEC SX 	A pipelined vector processor by NEC
NECS 	Nationwide Educational Computer Service
NEEDS 	New England Educational Data Systems
NEF 	Network Element Function
NEIS 	National Engineering Information System
NEL 	Naval Electronics Laboratory
NELAT 	Naval Electronics Laboratory Assembly Tester
NELIAC 	Naval Electronics Laboratory International Algebraic Compiler
NEMA 	National Electrical Manufacturers Association
NEMA 	National Electrical Manufactures Association
NEP 	Noise Equivalent Power, 등가 잡음 전력
NEREM 	Northeast Electronics Research and Engineering Meeting
NERN 	National Research and Education Network
NES 	Network Synchronizer, 네트워크 동기
NES 	Not Elseqhere Specified
NESA 	New Extended Standard Architecture bus, NESA 버스
NEST 	Novell Embedded Systems Technology, 네스트
NET 	Network Entity Title, 네트워크 엔티티 타이틀
NET 	Network Equipment Type
NetBEUI 	NetBios Extended User Interface
NETBEUI 	NETbios Extended User Interface, 네트바이오스 확장 사용자 인터페이스
NETBIOS 	NETwork Basic Input Output System, 네트 바이오스
NetBIOS 	Network Basic Input/Output System
NETBLT 	Network Block Transfer, 네트워크 블록 전송
NETRPC 	Network Remote Procedure Call
NETSET 	Network Synthesis and Evaluation Technique
NEWS 	Network Extensible Window System, 뉴스
NEWS-21 	Network Exchange for Wireless Services-21 (IMT-2000)
NEXT 	Near-End Cross Talk, 근단 누화
NF 	Nanofarad, 나노패럿
NF 	Noise Figure
NF 	Noise Figure, 잡음 지수
NF 	Not Finished
Nf 	Number Of Image Components In Frame, 프레임을 구성하는 컴포넌트 수
NFA 	Non Frame Alignment
NFB 	Negative Feedback
NFP 	Near-Far Problem, 원근 문제
NFS 	Network File Server
NFS 	Network File System, 네트워크 파일 시스템
